"Categoria CID-10","Branca","Preta","Amarela","Parda","Indigena","Ignorado","Total"
"E14   Diabetes mellitus NE",10565,1864,147,7103,21,1427,21127
"G20   Doenc de Parkinson",993,41,11,267,-,63,1375
"I21   Infarto agudo do miocardio",26005,3454,261,14814,82,2401,47017
"X91   Agressao enforc estrangulamento sufocacao",162,36,2,256,3,33,492
"X93   Agressao disparo de arma de fogo de mao",1014,192,2,1697,4,107,3016
"X94   Agressao disparo arma fogo de maior calibre",67,16,-,140,2,7,232
"X95   Agressao disparo outr arma de fogo ou NE",7671,2490,25,19153,27,1962,31328
"X97   Agressao p/meio de fumaca fogo e chamas",53,9,1,57,-,21,141
"X99   Agressao objeto cortante ou penetrante",1823,560,13,4410,31,395,7232
"Y00   Agressao p/meio de um objeto contundente",775,187,3,1453,8,126,2552
"Y04   Agressao p/meio de forca corporal",203,40,1,279,6,18,547
"Y09   Agressao p/meios NE",516,219,3,842,4,91,1675
"Y35   Intervencao legal",235,117,-,372,1,19,744
"Total",50082,9225,469,50843,189,6670,117478
