"Categoria CID-10","Branca","Preta","Amarela","Parda","Indigena","Ignorado","Total"
"E14   Diabetes mellitus NE",13309,2399,153,9625,44,1391,26921
"G20   Doenc de Parkinson",1191,37,14,225,2,60,1529
"I21   Infarto agudo do miocardio",19912,2672,241,11562,48,1386,35821
"X91   Agressao enforc estrangulamento sufocacao",113,17,1,160,4,7,302
"X93   Agressao disparo de arma de fogo de mao",111,14,-,97,1,5,228
"X94   Agressao disparo arma fogo de maior calibre",11,1,-,12,-,2,26
"X95   Agressao disparo outr arma de fogo ou NE",570,138,5,1293,5,125,2136
"X97   Agressao p/meio de fumaca fogo e chamas",19,5,-,32,-,7,63
"X99   Agressao objeto cortante ou penetrante",420,69,-,678,12,43,1222
"Y00   Agressao p/meio de um objeto contundente",148,25,-,183,3,12,371
"Y04   Agressao p/meio de forca corporal",31,5,1,41,2,5,85
"Y09   Agressao p/meios NE",89,34,-,106,13,14,256
"Y35   Intervencao legal",2,2,-,-,-,-,4
"Total",35926,5418,415,24014,134,3057,68964
 
