"Categoria CID-10","Branca","Preta","Amarela","Parda","Indigena","Ignorado","Total"
"E14   Diabetes mellitus NE",10559,1974,145,7850,21,1299,21848
"G20   Doenc de Parkinson",1223,64,14,291,1,73,1666
"I21   Infarto agudo do miocardio",27003,3941,293,17143,90,2027,50497
"X91   Agressao enforc estrangulamento sufocacao",183,59,2,288,6,39,577
"X93   Agressao disparo de arma de fogo de mao",1119,272,7,1765,6,63,3232
"X94   Agressao disparo arma fogo de maior calibre",55,18,1,165,5,9,253
"X95   Agressao disparo outr arma de fogo ou NE",7613,2689,28,21598,28,2566,34522
"X97   Agressao p/meio de fumaca fogo e chamas",65,17,-,81,-,35,198
"X99   Agressao objeto cortante ou penetrante",1870,602,6,4807,49,401,7735
"Y00   Agressao p/meio de um objeto contundente",803,191,5,1521,12,113,2645
"Y04   Agressao p/meio de forca corporal",188,29,-,318,4,56,595
"Y09   Agressao p/meios NE",461,191,5,906,29,74,1666
"Y35   Intervencao legal",173,78,-,321,-,13,585
"Total",51315,10125,506,57054,251,6768,126019
