"Categoria CID-10","Branca","Preta","Amarela","Parda","Indigena","Ignorado","Total"
"E14   Diabetes mellitus NE",13826,2541,182,9363,47,1618,27577
"G20   Doenc de Parkinson",1045,43,11,185,2,48,1334
"I21   Infarto agudo do miocardio",19116,2620,202,11097,44,1523,34602
"X91   Agressao enforc estrangulamento sufocacao",113,18,-,163,3,11,308
"X93   Agressao disparo de arma de fogo de mao",111,13,-,117,-,9,250
"X94   Agressao disparo arma fogo de maior calibre",5,-,-,15,-,-,20
"X95   Agressao disparo outr arma de fogo ou NE",588,174,1,1174,2,123,2062
"X97   Agressao p/meio de fumaca fogo e chamas",27,4,1,23,-,5,60
"X99   Agressao objeto cortante ou penetrante",422,95,1,688,6,48,1260
"Y00   Agressao p/meio de um objeto contundente",127,29,1,185,2,12,356
"Y04   Agressao p/meio de forca corporal",26,2,-,40,1,2,71
"Y09   Agressao p/meios NE",69,24,-,84,22,12,211
"Y35   Intervencao legal",5,-,-,3,-,2,10
"Total",35480,5563,399,23137,129,3413,68121
