"Categoria CID-10","Branca","Preta","Amarela","Parda","Indigena","Ignorado","Total"
"E14   Diabetes mellitus NE",10769,1947,145,8702,25,1001,22589
"G20   Doenc de Parkinson",1461,67,20,379,3,66,1996
"I21   Infarto agudo do miocardio",28894,4154,319,20513,97,1640,55617
"X91   Agressao enforc estrangulamento sufocacao",169,40,-,292,4,20,525
"X93   Agressao disparo de arma de fogo de mao",1319,310,6,1886,8,64,3593
"X94   Agressao disparo arma fogo de maior calibre",59,16,-,145,4,5,229
"X95   Agressao disparo outr arma de fogo ou NE",7877,3142,41,25733,48,1439,38280
"X97   Agressao p/meio de fumaca fogo e chamas",66,19,-,103,1,51,240
"X99   Agressao objeto cortante ou penetrante",1781,584,18,5216,67,253,7919
"Y00   Agressao p/meio de um objeto contundente",681,199,4,1590,12,88,2574
"Y04   Agressao p/meio de forca corporal",225,66,-,524,6,47,868
"Y09   Agressao p/meios NE",460,230,5,958,18,60,1731
"Y35   Intervencao legal",327,212,1,798,2,24,1364
"Total",54088,10986,559,66839,295,4758,137525
 
