"Categoria CID-10","Branca","Preta","Amarela","Parda","Indigena","Ignorado","Total"
"E14   Diabetes mellitus NE",10839,2080,163,7873,29,1424,22408
"G20   Doenc de Parkinson",1140,52,10,257,2,86,1547
"I21   Infarto agudo do miocardio",26651,3772,317,15911,72,2042,48765
"X91   Agressao enforc estrangulamento sufocacao",172,36,-,238,4,26,476
"X93   Agressao disparo de arma de fogo de mao",1173,258,4,2023,-,119,3577
"X94   Agressao disparo arma fogo de maior calibre",48,11,-,111,-,4,174
"X95   Agressao disparo outr arma de fogo ou NE",7445,2460,28,18886,41,1831,30691
"X97   Agressao p/meio de fumaca fogo e chamas",45,15,-,58,-,19,137
"X99   Agressao objeto cortante ou penetrante",1868,601,15,4530,48,338,7400
"Y00   Agressao p/meio de um objeto contundente",820,199,7,1373,9,116,2524
"Y04   Agressao p/meio de forca corporal",201,32,1,234,4,16,488
"Y09   Agressao p/meios NE",466,172,3,824,4,100,1569
"Y35   Intervencao legal",177,77,-,329,-,16,599
"Total",51045,9765,548,52647,213,6137,120355
