"Categoria CID-10","Branca","Preta","Amarela","Parda","Indigena","Ignorado","Total"
"E14   Diabetes mellitus NE",14133,2620,191,9391,46,1788,28169
"G20   Doenc de Parkinson",949,25,11,167,-,65,1217
"I21   Infarto agudo do miocardio",19466,2548,211,10204,49,1518,33996
"X91   Agressao enforc estrangulamento sufocacao",129,16,-,104,3,16,268
"X93   Agressao disparo de arma de fogo de mao",115,24,-,157,-,9,305
"X94   Agressao disparo arma fogo de maior calibre",8,1,-,11,-,1,21
"X95   Agressao disparo outr arma de fogo ou NE",587,131,2,1081,3,128,1932
"X97   Agressao p/meio de fumaca fogo e chamas",14,4,-,25,1,5,49
"X99   Agressao objeto cortante ou penetrante",394,85,4,657,8,46,1194
"Y00   Agressao p/meio de um objeto contundente",129,25,1,162,1,17,335
"Y04   Agressao p/meio de forca corporal",31,5,-,29,-,2,67
"Y09   Agressao p/meios NE",80,20,1,104,3,16,224
"Y35   Intervencao legal",4,1,-,2,-,3,10
"Total",36039,5505,421,22094,114,3614,67787
 
