 Mortalidade - Brasil
Óbitos p/Ocorrênc por Categoria CID-10 e Cor/raça
Categoria CID-10: E14   Diabetes mellitus NE, G20   Doenc de Parkinson, I21   Infarto agudo do miocardio, X91   Agressao enforc estrangulamento sufocacao, X93   Agressao disparo de arma de fogo de mao, X94   Agressao disparo arma fogo de maior calibre, X95   Agressao disparo outr arma de fogo ou NE, X97   Agressao p/meio de fumaca fogo e chamas, X99   Agressao objeto cortante ou penetrante, Y00   Agressao p/meio de um objeto contundente, Y04   Agressao p/meio de forca corporal, Y09   Agressao p/meios NE, Y35   Intervencao legal, Y36   Operacoes de guerra
Sexo: Fem
Período:2015
"Categoria CID-10";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"E14   Diabetes mellitus NE";13371;2436;132;10039;45;1311;27334
"G20   Doenc de Parkinson";1188;37;15;226;-;66;1532
"I21   Infarto agudo do miocardio";20617;2766;253;12503;63;1213;37415
"X91   Agressao enforc estrangulamento sufocacao";121;26;2;156;-;7;312
"X93   Agressao disparo de arma de fogo de mao";106;16;-;102;-;12;236
"X94   Agressao disparo arma fogo de maior calibre";9;1;-;15;-;-;25
"X95   Agressao disparo outr arma de fogo ou NE";542;127;4;1241;6;97;2017
"X97   Agressao p/meio de fumaca fogo e chamas";25;3;1;22;-;3;54
"X99   Agressao objeto cortante ou penetrante";401;101;6;645;5;36;1194
"Y00   Agressao p/meio de um objeto contundente";129;15;-;181;1;11;337
"Y04   Agressao p/meio de forca corporal";31;7;-;51;-;5;94
"Y09   Agressao p/meios NE";82;19;-;91;19;7;218
"Y35   Intervencao legal";-;2;-;3;-;-;5
"Total";36622;5556;413;25275;139;2768;70773
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
