"Categoria CID-10","Branca","Preta","Amarela","Parda","Indigena","Ignorado","Total"
"E14   Diabetes mellitus NE",10465,1959,136,7673,37,1288,21558
"G20   Doenc de Parkinson",1226,60,13,270,1,69,1639
"I21   Infarto agudo do miocardio",26707,3807,276,16681,68,1972,49511
"X91   Agressao enforc estrangulamento sufocacao",188,37,1,264,5,36,531
"X93   Agressao disparo de arma de fogo de mao",1269,294,1,2218,14,82,3878
"X94   Agressao disparo arma fogo de maior calibre",56,14,-,147,-,5,222
"X95   Agressao disparo outr arma de fogo ou NE",7638,2657,40,20857,36,2387,33615
"X97   Agressao p/meio de fumaca fogo e chamas",56,12,2,87,-,27,184
"X99   Agressao objeto cortante ou penetrante",1916,572,9,4825,50,361,7733
"Y00   Agressao p/meio de um objeto contundente",851,205,9,1495,8,117,2685
"Y04   Agressao p/meio de forca corporal",212,40,2,270,5,43,572
"Y09   Agressao p/meios NE",477,172,3,798,36,101,1587
"Y35   Intervencao legal",188,97,-,399,-,14,698
"Total",51249,9926,492,55984,260,6502,124413
 
